Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,2,8014,1,1,0.263157895,1,1,37,8,4,0.292631579,1,1,1,2,1,1,0.113207547,1,1,7,14,3,0.529801325,1,1,6,13,2,0.538461539,1,0.209302326,0.0,0.124174373,0
1,39,2,9991,1,40,0.368421053,1,19,1,4,5,0.6,2,1,1,2,1,1,0.188679245,1,1,6,1,1,0.0,1,1,6,1,1,0.0,1,0.151162791,0.488888889,1.0,1
1,39,2,9991,1,1,0.401052632,1,37,37,10,10,0.329473684,1,1,1,2,1,2,0.169811321,1,1,6,8,1,0.0,1,1,6,9,1,0.0,1,1.0,0.244444444,0.414795244,1
1,39,2,8014,1,1,0.263157895,1,19,37,9,8,0.052631579,2,1,1,2,1,1,0.132075472,1,1,7,12,2,0.529801325,1,1,7,7,1,0.0,7,0.209302326,0.0,0.124174373,1
1,39,2,8014,1,1,0.401052632,1,1,19,6,5,0.078947368,1,1,1,2,1,2,0.188679245,1,1,7,17,2,0.529801325,1,1,7,14,1,0.0,1,0.151162791,0.488888889,1.0,1
2,7,2,9991,1,43,0.473684211,1,40,5,4,4,0.473684211,1,1,1,2,1,1,0.301886792,1,3,7,8,7,0.812362031,1,1,6,6,6,0.850769231,1,0.406976744,0.311111111,0.80317041,0
1,17,2,9991,1,40,0.336842105,1,37,37,7,7,0.314736842,1,1,1,2,1,1,0.226415094,1,1,6,11,6,0.719016083,1,1,6,15,6,0.664102564,4,1.0,0.244444444,0.414795244,0
1,39,2,8014,1,1,0.052631579,1,37,37,100,100,0.052631579,1,1,1,2,1,1,0.320754717,1,1,7,1,1,0.0,1,1,7,1,1,0.0,1,0.593023256,1.0,0.311756935,1
4,1,2,8014,1,1,0.401052632,1,39,19,5,11,0.505263158,2,1,1,2,1,2,0.566037736,1,1,7,10,6,0.750551877,1,1,7,8,7,0.762820513,1,1.0,0.244444444,0.414795244,0
2,51,2,9991,1,1,0.336842105,1,37,37,9,5,0.053684211,1,1,1,2,1,1,0.264150943,1,2,6,6,6,0.741721854,1,1,6,6,6,0.743076923,1,0.151162791,0.488888889,1.0,0
1,1,2,8014,1,1,0.347368421,1,38,38,1,1,0.285263158,1,1,1,2,1,1,0.075471698,1,1,7,9,6,0.678145695,1,1,7,11,7,0.638461539,1,0.0,0.755555556,0.578599736,0
1,39,2,8014,1,15,0.789473684,1,34,1,91,3,0.063157895,1,1,1,2,1,1,0.283018868,1,1,7,10,5,0.635761589,1,1,7,13,5,0.619230769,1,0.0,0.755555556,0.578599736,0
1,18,3,8014,1,1,0.231578947,1,3,1,4,5,0.176842105,2,1,1,2,1,2,0.037735849,1,1,7,9,7,0.573951435,1,1,7,10,7,0.619230769,1,0.372093023,0.488888889,0.766182299,0
1,1,2,8014,1,1,0.326315789,1,37,38,10,11,0.256842105,1,1,1,2,1,1,0.037735849,1,1,7,7,7,0.671081678,1,1,7,7,7,0.628205128,1,0.593023256,1.0,0.311756935,0
2,39,2,8014,1,1,0.263157895,1,37,37,10,10,0.231578947,2,1,1,2,1,1,0.301886792,1,1,7,8,7,0.6799117,1,1,7,9,7,0.692307693,1,0.558139535,0.288888889,0.772787318,0
4,39,2,9991,1,1,0.401052632,1,37,37,7,7,0.433684211,1,1,1,2,1,1,0.41509434,1,1,6,7,6,0.582781457,1,1,6,10,6,0.628205128,1,0.372093023,0.488888889,0.766182299,0
1,1,3,8014,1,1,0.010526316,1,3,1,4,10,0.052631579,1,1,1,2,1,1,0.056603774,1,1,7,11,6,0.635761589,1,1,7,10,5,0.605769231,1,0.209302326,0.0,0.124174373,0
1,39,2,9991,1,1,0.401052632,1,37,37,91,9,0.349473684,1,1,1,2,1,1,0.301886792,1,1,6,1,1,0.0,1,1,6,1,1,0.0,1,0.593023256,1.0,0.311756935,1
2,43,2,8014,1,1,0.684210526,1,37,39,10,5,0.483157895,1,1,1,2,1,1,0.622641509,1,8,12,12,12,0.717639976,1,4,8,8,8,0.730769231,1,1.0,0.244444444,0.414795244,0
4,39,2,9991,1,1,0.368421053,1,38,19,10,8,0.557894737,1,1,1,2,1,2,0.264150943,1,1,6,12,5,0.59602649,1,1,6,11,5,0.583333333,1,0.73255814,0.111111111,0.640686922,0
4,39,2,9991,1,1,0.473684211,1,1,37,142,193,0.365263158,1,1,1,2,1,1,0.339622642,1,1,6,9,6,0.635761589,1,1,6,10,6,0.692307693,1,0.73255814,0.111111111,0.640686922,0
2,51,2,8014,1,19,0.401052632,1,37,37,10,10,0.094736842,1,1,2,2,1,1,0.471698113,1,6,12,15,11,0.630463576,1,6,12,15,11,0.689230769,1,0.406976744,0.311111111,0.80317041,0
1,39,2,9991,1,3,0.368421053,1,37,37,10,10,0.538947368,1,1,1,2,1,1,0.20754717,1,11,15,17,12,0.597230584,1,7,12,17,11,0.646153846,1,0.372093023,0.488888889,0.766182299,0
1,44,2,8014,1,39,0.684210526,1,37,37,8,8,0.643157895,1,1,1,2,1,2,0.075471698,1,4,7,7,7,0.777041943,1,3,7,7,7,0.762820513,1,0.73255814,0.111111111,0.640686922,0
1,39,2,9991,1,40,0.473684211,1,1,19,10,10,0.463157895,1,1,1,2,1,1,0.188679245,1,1,6,6,6,0.837086093,1,1,6,6,6,0.796923077,1,0.151162791,0.488888889,1.0,0
1,7,2,9991,1,40,0.473684211,1,37,37,7,7,0.473684211,1,1,1,2,1,1,0.169811321,1,4,6,6,6,0.741721854,1,2,6,6,6,0.84,1,0.558139535,0.288888889,0.772787318,0
1,42,2,9991,1,1,0.684210526,1,1,2,5,4,0.263157895,1,1,1,2,1,1,0.245283019,1,5,8,10,8,0.749290445,1,2,6,6,6,0.796923077,1,0.0,0.755555556,0.578599736,0
1,39,2,8014,1,1,0.263157895,1,37,37,8,9,0.263157895,1,1,1,2,1,2,0.188679245,1,1,7,9,7,0.626931567,1,1,7,11,6,0.689230769,1,0.918604651,0.8,0.0,0
2,39,2,8014,1,1,0.368421053,1,34,34,100,100,0.208421053,1,1,1,2,1,1,0.509433962,1,1,7,10,7,0.591611479,1,2,7,16,3,0.592307692,2,0.0,0.755555556,0.578599736,0
1,43,2,8014,1,1,0.401052632,1,3,3,3,4,0.421052632,1,1,1,2,1,1,0.188679245,1,8,11,11,10,0.606328182,1,5,12,12,6,0.581538462,1,0.372093023,0.488888889,0.766182299,1
2,39,2,8014,1,1,0.263157895,1,34,34,100,100,0.071578947,1,1,1,1,1,1,0.283018868,1,1,6,6,1,0.0,1,1,6,11,1,0.0,1,0.372093023,0.488888889,0.766182299,1
1,39,2,9991,1,1,0.052631579,1,37,19,10,3,0.283157895,1,1,1,1,1,1,0.433962264,1,1,5,5,1,0.0,1,1,6,1,1,0.0,1,0.593023256,1.0,0.311756935,1
2,18,3,8014,1,1,0.473684211,1,37,37,10,11,0.267368421,1,1,2,1,1,1,0.41509434,1,1,6,6,1,0.0,1,1,5,5,1,0.0,1,0.209302326,0.0,0.124174373,1
4,39,2,8014,1,19,0.401052632,1,34,34,1,1,0.052631579,1,1,1,2,1,1,0.58490566,1,1,7,12,2,0.529801325,1,1,7,12,2,0.592307692,1,0.209302326,0.0,0.124174373,1
1,43,2,9991,1,1,0.578947368,1,3,3,5,5,0.052631579,2,1,1,2,2,1,0.132075472,1,1,6,11,5,0.609271523,1,1,6,12,6,0.607692308,1,0.73255814,0.111111111,0.640686922,0
1,39,2,9991,1,1,0.463157895,1,1,1,5,11,0.481052632,1,1,1,2,2,1,0.150943396,1,1,6,14,2,0.529801325,1,1,6,9,3,0.61025641,1,0.558139535,0.288888889,0.772787318,1
1,1,2,8014,1,1,0.368421053,1,1,1,10,10,0.243157895,1,1,1,2,2,1,0.056603774,1,1,7,8,7,0.644591612,1,1,7,10,7,0.646153846,1,0.0,0.755555556,0.578599736,0
1,39,3,9991,1,1,0.810526316,1,19,37,10,9,0.578947368,2,1,1,2,1,2,0.20754717,1,1,6,8,6,0.561589404,1,1,6,7,6,0.549230769,1,0.209302326,0.0,0.124174373,0
1,39,2,8014,1,1,0.401052632,1,34,5,1,2,0.247368421,2,1,1,2,1,1,0.264150943,1,1,7,13,1,0.0,1,1,7,1,1,0.0,1,0.0,0.755555556,0.578599736,1
1,39,2,9991,1,3,0.263157895,1,37,37,10,10,0.484210526,1,1,1,2,1,1,0.226415094,1,11,16,16,12,0.606863335,1,10,14,17,12,0.621678322,1,0.372093023,0.488888889,0.766182299,1
1,39,2,8014,1,1,0.263157895,1,1,1,5,5,0.584210526,1,1,1,2,1,1,0.188679245,1,1,7,7,7,0.662251656,1,2,7,7,7,0.664102564,1,0.918604651,0.8,0.0,0
2,1,2,8014,1,1,0.578947368,1,1,37,5,8,0.472631579,2,1,1,2,1,1,0.132075472,1,1,7,10,6,0.688741722,1,1,7,7,7,0.762820513,1,0.209302326,0.0,0.124174373,0
1,44,2,8014,1,39,0.368421053,1,37,38,7,7,0.368421053,2,1,1,2,1,1,0.113207547,1,6,10,11,10,0.576894776,1,4,9,11,7,0.61025641,1,0.406976744,0.311111111,0.80317041,0
1,39,2,9991,1,1,0.263157895,1,38,1,10,5,0.296842105,1,1,1,2,1,1,0.188679245,1,1,6,10,4,0.565121413,1,1,6,8,5,0.613846154,1,0.372093023,0.488888889,0.766182299,0
2,39,2,9991,1,3,0.473684211,1,19,19,10,8,0.604210526,1,1,1,2,1,1,0.169811321,1,1,6,6,6,0.635761589,1,1,6,7,6,0.798717949,1,0.372093023,0.488888889,0.766182299,0
1,51,2,8014,1,1,0.273684211,1,1,38,6,8,0.182105263,1,1,1,2,1,1,0.094339623,1,15,17,17,14,0.578706062,1,14,14,14,12,0.616783217,1,1.0,0.244444444,0.414795244,0
1,42,2,8014,1,1,0.263157895,1,37,38,91,8,0.263157895,2,1,1,2,1,1,0.245283019,1,10,12,20,10,0.712288447,2,6,8,8,8,0.792307692,1,0.0,0.755555556,0.578599736,1
2,43,2,9991,1,1,0.052631579,1,37,37,10,10,0.349473684,1,1,1,2,2,1,0.547169811,1,7,11,14,10,0.646357616,1,5,11,13,11,0.689230769,1,0.0,0.755555556,0.578599736,0
3,39,2,9991,1,1,0.263157895,1,37,1,10,3,0.789473684,1,1,1,2,2,1,0.490566038,1,1,6,6,6,0.625165563,1,1,6,7,6,0.753846154,1,0.209302326,0.0,0.124174373,0
2,1,2,8014,1,1,0.736842105,1,37,37,1,1,0.714736842,2,1,1,2,2,1,0.528301887,1,1,7,8,7,0.72406181,1,1,7,7,7,0.735897436,1,0.0,0.755555556,0.578599736,0
2,39,2,9991,1,1,0.263157895,1,37,37,10,10,0.402105263,2,1,1,2,2,1,0.283018868,1,1,6,6,1,0.0,1,1,6,6,1,0.0,1,0.0,0.755555556,0.578599736,1
5,39,2,9991,1,1,0.263157895,1,37,37,10,10,0.453684211,1,1,1,2,2,2,0.377358491,1,1,6,9,6,0.688741722,1,1,6,12,5,0.717948718,3,1.0,0.244444444,0.414795244,1
2,39,2,8014,1,1,0.401052632,1,19,1,5,9,0.518947368,1,1,1,2,2,1,0.452830189,1,7,11,11,11,0.662251656,1,4,8,8,8,0.653846154,1,0.372093023,0.488888889,0.766182299,0
1,39,2,8014,1,1,0.401052632,1,37,11,10,8,0.010526316,1,1,2,1,2,1,0.622641509,1,1,7,7,1,0.0,1,1,6,7,1,0.0,1,0.558139535,0.288888889,0.772787318,1
2,39,2,9991,1,19,0.401052632,1,38,38,91,91,0.281052632,2,1,1,2,2,1,0.528301887,1,1,6,6,1,0.0,1,1,6,6,1,0.0,1,0.0,0.755555556,0.578599736,1
1,43,2,8014,1,1,0.694736842,1,19,37,5,11,0.052631579,1,1,1,2,2,1,0.509433962,1,10,14,19,14,0.6276108,1,10,12,12,12,0.646153846,1,0.593023256,1.0,0.311756935,0
2,42,2,9991,1,6,0.294736842,1,37,37,10,10,0.294736842,1,1,1,2,2,1,0.377358491,1,1,6,11,6,0.837086093,1,1,6,6,6,0.947692308,1,0.209302326,0.0,0.124174373,0
1,39,2,8014,1,1,0.473684211,1,37,37,91,6,0.215789474,1,1,1,1,2,1,0.301886792,1,1,7,7,2,0.582781457,1,1,7,1,1,0.0,1,0.372093023,0.488888889,0.766182299,1
1,39,2,9991,1,1,0.401052632,1,37,37,10,10,0.507368421,1,1,1,2,2,1,0.339622642,1,1,6,6,1,0.0,1,1,6,6,1,0.0,1,0.406976744,0.311111111,0.80317041,1
1,39,2,9991,1,1,0.578947368,1,1,19,5,9,0.294736842,1,1,1,2,2,1,0.188679245,1,1,6,9,5,0.609271523,1,1,6,10,4,0.556410256,1,0.593023256,1.0,0.311756935,1
2,39,2,9991,1,19,0.401052632,1,19,37,8,10,0.444210526,1,1,2,1,1,1,0.283018868,1,1,6,6,1,0.0,1,1,6,7,1,0.0,1,0.372093023,0.488888889,0.766182299,1
1,43,2,9991,1,1,0.368421053,1,37,2,10,5,0.331578947,2,1,1,1,2,1,0.113207547,1,11,16,25,13,0.582781457,1,11,15,22,12,0.611888112,2,0.0,0.755555556,0.578599736,1
2,43,4,8014,1,19,0.052631579,1,37,37,10,10,0.263157895,2,1,1,2,2,1,0.452830189,1,6,10,12,10,0.635761589,1,4,8,9,7,0.646153846,1,0.209302326,0.0,0.124174373,0
2,44,2,8014,1,39,0.578947368,1,1,1,6,6,0.621052632,1,1,1,2,2,1,0.377358491,1,13,17,18,17,0.748344371,1,7,12,15,11,0.7,1,0.558139535,0.288888889,0.772787318,0
1,7,2,9991,1,40,0.401052632,1,1,37,5,2,0.052631579,1,1,1,2,1,1,0.169811321,1,9,10,12,10,0.653421633,1,5,8,8,8,0.676923077,1,0.558139535,0.288888889,0.772787318,0
2,39,2,8014,1,1,0.401052632,1,37,37,10,8,0.710526316,1,1,1,2,2,1,0.698113208,1,5,10,10,10,0.759381898,1,3,8,8,8,0.746153846,1,0.151162791,0.488888889,1.0,0
1,1,2,8014,1,1,0.294736842,1,34,37,10,91,0.276842105,2,1,1,2,1,1,0.150943396,1,1,7,7,7,0.6799117,1,1,7,7,7,0.691025641,1,0.0,0.755555556,0.578599736,0
2,39,2,9991,1,1,0.684210526,1,1,1,195,132,0.351578947,1,1,1,2,1,1,0.320754717,1,1,6,13,6,0.550993377,1,1,6,12,6,0.646153846,1,0.558139535,0.288888889,0.772787318,0
1,42,2,9991,1,1,0.578947368,1,19,19,6,6,0.196842105,1,1,1,2,2,1,0.245283019,1,12,16,16,14,0.607233826,1,7,12,16,11,0.623717949,2,1.0,0.244444444,0.414795244,0
1,7,2,8014,1,3,0.473684211,1,37,12,10,5,0.473684211,1,1,1,1,1,1,0.169811321,1,1,6,10,1,0.0,1,1,6,11,1,0.0,1,0.209302326,0.0,0.124174373,1
2,44,2,9991,1,39,0.368421053,1,1,37,5,10,0.368421053,1,1,1,1,1,1,0.075471698,1,1,6,13,4,0.600441501,1,1,6,11,2,0.7,1,0.918604651,0.8,0.0,1
2,39,2,9991,1,1,0.473684211,1,37,37,10,10,0.263157895,1,1,1,1,1,1,0.396226415,1,1,6,7,6,0.561589404,1,1,6,10,3,0.592307692,1,0.593023256,1.0,0.311756935,1
4,39,2,8014,1,1,0.368421053,1,37,37,10,8,0.452631579,1,1,1,2,1,1,0.471698113,1,1,7,9,6,0.593377483,1,1,7,7,7,0.646153846,1,0.151162791,0.488888889,1.0,0
2,39,2,9991,1,1,0.547368421,1,34,34,91,91,0.175789474,2,1,1,2,1,1,0.20754717,1,1,6,11,1,0.0,1,1,6,6,1,0.0,1,0.0,0.755555556,0.578599736,1
2,39,2,8014,1,9,0.401052632,1,37,37,9,11,0.052631579,2,1,1,2,1,1,0.377358491,1,1,7,1,1,0.0,1,1,7,1,1,0.0,1,0.209302326,0.0,0.124174373,1
6,39,2,8014,1,1,0.401052632,1,37,1,10,8,0.208421053,1,1,1,2,1,2,0.452830189,1,1,7,11,6,0.6799117,1,1,7,7,7,0.664102564,1,0.73255814,0.111111111,0.640686922,0
4,39,2,8014,1,19,0.473684211,1,37,37,10,4,0.378947368,1,1,1,2,1,2,0.226415094,1,1,7,12,5,0.622516556,1,1,7,10,6,0.56,1,0.372093023,0.488888889,0.766182299,0
1,39,2,8014,1,1,0.401052632,1,37,37,10,10,0.021052632,1,1,1,2,1,2,0.339622642,1,1,7,9,7,0.573951435,1,1,7,8,7,0.619230769,1,0.372093023,0.488888889,0.766182299,0
4,39,2,9991,1,1,0.263157895,1,37,37,10,10,0.157894737,1,1,1,2,1,1,0.377358491,1,1,6,15,3,0.529801325,1,1,6,8,4,0.61025641,1,0.593023256,1.0,0.311756935,0
2,39,2,8014,1,1,0.401052632,1,37,37,7,9,0.052631579,1,1,2,2,1,1,0.377358491,1,4,9,13,8,0.602649007,1,3,8,11,7,0.655128205,1,0.73255814,0.111111111,0.640686922,0
1,44,2,9991,1,39,0.578947368,1,37,37,7,7,0.578947368,1,1,1,2,1,1,0.264150943,1,3,7,9,7,0.635761589,1,3,8,9,8,0.723076923,1,0.209302326,0.0,0.124174373,0
4,39,2,8014,1,19,0.401052632,1,37,37,91,8,0.157894737,1,1,1,1,1,1,0.264150943,1,1,7,9,6,0.60397351,1,1,7,10,4,0.592307692,1,0.209302326,0.0,0.124174373,1
1,39,2,9991,1,1,0.368421053,1,37,37,10,10,0.265263158,2,1,1,2,2,1,0.245283019,1,1,6,8,6,0.582781457,1,1,6,6,6,0.624615385,1,0.0,0.755555556,0.578599736,0
2,39,2,9991,1,1,0.401052632,1,37,37,10,10,0.397894737,1,1,2,1,2,1,0.528301887,1,1,6,10,1,0.0,1,1,6,12,1,0.0,1,0.558139535,0.288888889,0.772787318,1
2,39,2,9991,1,1,0.557894737,1,19,37,10,6,0.377894737,1,1,1,1,2,1,0.20754717,1,1,6,6,1,0.0,1,1,6,7,1,0.0,1,0.558139535,0.288888889,0.772787318,1
2,39,2,9991,1,1,0.421052632,1,34,34,1,1,0.411578947,2,1,1,1,2,1,0.603773585,1,1,6,6,1,0.0,1,1,6,6,1,0.0,1,0.0,0.755555556,0.578599736,1
2,39,2,9991,1,1,0.789473684,1,37,19,10,4,0.590526316,1,1,1,2,2,1,0.58490566,1,1,6,10,6,0.65089877,1,1,6,9,6,0.599038462,1,1.0,0.244444444,0.414795244,0
1,39,2,9991,1,19,0.401052632,1,19,37,8,6,0.636842105,2,1,2,1,2,1,0.41509434,1,1,6,7,6,0.561589404,1,1,6,8,6,0.78974359,1,0.372093023,0.488888889,0.766182299,1
2,39,2,9991,1,1,0.052631579,1,19,19,5,5,0.189473684,1,1,1,2,2,2,0.452830189,1,1,6,10,5,0.582781457,1,1,6,7,6,0.613846154,1,0.151162791,0.488888889,1.0,0
2,39,2,9991,1,1,0.368421053,1,38,38,10,4,0.532631579,1,1,1,2,2,1,0.320754717,1,1,6,11,5,0.622516556,1,1,6,11,5,0.583333333,1,0.73255814,0.111111111,0.640686922,0
1,39,2,8014,1,1,0.368421053,1,37,37,10,9,0.089473684,1,1,1,2,1,2,0.301886792,1,1,7,7,7,0.750551877,1,1,7,7,7,0.771794872,1,0.593023256,1.0,0.311756935,0
1,7,2,9991,1,40,0.263157895,1,1,19,5,10,0.263157895,1,1,1,2,1,1,0.132075472,1,1,6,6,1,0.0,1,1,6,7,1,0.0,1,0.558139535,0.288888889,0.772787318,1
1,39,2,8014,1,1,0.368421053,1,37,11,10,11,0.384210526,1,1,1,2,1,1,0.188679245,1,1,7,9,6,0.582781457,1,1,7,8,7,0.601282052,1,0.406976744,0.311111111,0.80317041,0
1,7,2,8014,1,40,0.368421053,1,19,1,6,11,0.368421053,2,1,2,1,1,1,0.113207547,1,8,13,13,12,0.741721854,1,5,11,12,9,0.7875,1,0.73255814,0.111111111,0.640686922,1
1,51,2,9991,1,42,0.157894737,1,19,37,6,10,0.349473684,1,1,1,1,1,1,0.094339623,1,8,13,13,8,0.582781457,1,6,6,6,6,0.570769231,1,0.151162791,0.488888889,1.0,1
1,39,2,9991,1,1,0.263157895,1,38,38,4,4,0.473684211,1,1,1,2,1,1,0.150943396,1,1,6,12,4,0.565121413,1,1,6,12,4,0.61025641,1,0.918604651,0.8,0.0,0
1,1,3,8014,1,1,0.126315789,1,19,11,1,1,0.089473684,2,1,1,2,1,1,0.094339623,1,1,7,8,6,0.709933775,1,1,7,10,6,0.656923077,1,0.0,0.755555556,0.578599736,0
1,51,2,9991,1,1,0.484210526,1,19,38,6,8,0.052631579,1,1,1,2,1,1,0.075471698,1,2,6,10,5,0.609271523,1,2,6,6,6,0.613846154,1,0.151162791,0.488888889,1.0,0
1,39,2,9991,1,19,0.401052632,1,37,37,10,10,0.233684211,1,1,1,2,1,1,0.452830189,1,1,6,9,6,0.582781457,1,1,6,7,6,0.635384615,2,0.0,0.755555556,0.578599736,0
4,39,2,8014,1,1,0.684210526,1,37,37,4,5,0.021052632,1,1,1,2,1,2,0.339622642,1,1,7,10,7,0.600441501,1,1,7,7,7,0.61025641,1,0.918604651,0.8,0.0,0
1,39,2,8014,1,40,0.473684211,1,19,37,6,10,0.557894737,1,1,1,2,1,1,0.377358491,1,8,12,12,12,0.727272727,1,5,9,9,9,0.794230769,1,0.558139535,0.288888889,0.772787318,0
1,39,2,9991,1,1,0.368421053,1,1,1,5,11,0.212631579,1,1,1,2,2,1,0.132075472,1,1,6,6,5,0.635761589,1,1,6,7,6,0.682051282,1,0.558139535,0.288888889,0.772787318,0
2,39,2,8014,1,19,0.401052632,1,37,37,5,9,0.184210526,1,1,1,2,1,1,0.283018868,1,1,7,9,6,0.731125828,1,1,7,8,7,0.655128205,1,0.209302326,0.0,0.124174373,0
1,7,2,8014,1,3,0.368421053,1,37,38,1,6,0.368421053,1,1,1,1,1,1,0.20754717,1,1,7,13,2,0.582781457,1,1,7,1,1,0.0,1,0.593023256,1.0,0.311756935,1
1,44,2,8014,1,39,0.263157895,1,19,37,8,7,0.282105263,2,1,1,2,1,1,0.094339623,1,4,7,7,7,0.662251656,1,3,7,8,7,0.715384616,1,0.558139535,0.288888889,0.772787318,0
2,39,2,9991,1,19,0.401052632,1,19,39,6,4,0.281052632,1,1,2,1,1,1,0.264150943,1,1,6,8,1,0.0,1,1,6,8,1,0.0,1,1.0,0.244444444,0.414795244,1
2,39,2,8014,1,19,0.052631579,1,1,19,2,6,0.368421053,1,1,2,2,1,2,0.301886792,1,1,7,10,6,0.732891832,1,1,7,8,7,0.673076923,1,0.209302326,0.0,0.124174373,0
1,39,2,9991,1,1,0.401052632,1,19,38,8,5,0.323157895,1,1,1,2,1,1,0.169811321,1,1,6,10,3,0.635761589,1,1,6,10,4,0.592307692,1,0.372093023,0.488888889,0.766182299,1
1,43,2,9991,1,1,0.263157895,1,37,37,10,10,0.349473684,1,1,1,1,2,1,0.283018868,1,6,10,10,6,0.60397351,1,5,5,5,5,0.592307692,1,0.372093023,0.488888889,0.766182299,1
2,43,2,9991,1,1,0.473684211,1,37,37,5,10,0.052631579,1,1,1,1,1,1,0.264150943,1,3,7,11,5,0.622516556,1,1,6,7,2,0.538461539,1,0.593023256,1.0,0.311756935,1
